ZIP,STCOUNTYFP,CITY,STATE,COUNTYNAME,CLASSFP
36030,01013,Forest home,AL,Butler County,H1
36032,01013,Fort deposit,AL,Butler County,H1
36037,01013,Greenville,AL,Butler County,H1
36205,01015,Anniston,AL,Calhoun County,H1
36250,01015,Alexandria,AL,Calhoun County,H1
36204,01015,Anniston,AL,Calhoun County,H1
36253,01015,Bynum,AL,Calhoun County,H1
35096,01015,Lincoln,AL,Calhoun County,H1
35905,01015,Gadsden,AL,Calhoun County,H1
36206,01015,Anniston,AL,Calhoun County,H1
36277,01015,Weaver,AL,Calhoun County,H1
36260,01015,Eastaboga,AL,Calhoun County,H1
36207,01015,Anniston,AL,Calhoun County,H1
36272,01015,Piedmont,AL,Calhoun County,H1
36202,01015,Anniston,AL,Calhoun County,H1
36265,01015,Jacksonville,AL,Calhoun County,H1
36201,01015,Anniston,AL,Calhoun County,H1
36203,01015,Oxford,AL,Calhoun County,H1
36257,01015,De armanville,AL,Calhoun County,H1
36271,01015,Ohatchee,AL,Calhoun County,H1
36279,01015,Wellington,AL,Calhoun County,H1
36254,01015,Choccolocco,AL,Calhoun County,H1
36854,01017,Valley,AL,Chambers County,H1
36850,01017,Camp hill,AL,Chambers County,H1
36879,01017,Waverly,AL,Chambers County,H1
36852,01017,Cusseta,AL,Chambers County,H1
36276,01017,Wadley,AL,Chambers County,H1
36274,01017,Roanoke,AL,Chambers County,H1
36801,01017,Opelika,AL,Chambers County,H1
36863,01017,Lanett,AL,Chambers County,H1
36862,01017,Lafayette,AL,Chambers County,H1
36855,01017,Five points,AL,Chambers County,H1
35984,01019,Mentone,AL,Cherokee County,H1
35973,01019,Gaylesville,AL,Cherokee County,H1
35901,01019,Gadsden,AL,Cherokee County,H1
36275,01019,Spring garden,AL,Cherokee County,H1
35903,01019,Gadsden,AL,Cherokee County,H1
35983,01019,Leesburg,AL,Cherokee County,H1
35959,01019,Cedar bluff,AL,Cherokee County,H1
35961,01019,Collinsville,AL,Cherokee County,H1
35967,01019,Fort payne,AL,Cherokee County,H1
36272,01019,Piedmont,AL,Cherokee County,H1
35960,01019,Centre,AL,Cherokee County,H1
35115,01021,Montevallo,AL,Chilton County,H1
36091,01021,Verbena,AL,Chilton County,H1
36758,01021,Plantersville,AL,Chilton County,H1
36790,01021,Stanton,AL,Chilton County,H1
36006,01021,Billingsley,AL,Chilton County,H1
36750,01021,Maplesville,AL,Chilton County,H1
35045,01021,Clanton,AL,Chilton County,H1
36792,01021,Randolph,AL,Chilton County,H1
35040,01021,Calera,AL,Chilton County,H1
35046,01021,Clanton,AL,Chilton County,H1
35171,01021,Thorsby,AL,Chilton County,H1
36051,01021,Marbury,AL,Chilton County,H1
35085,01021,Jemison,AL,Chilton County,H1
36793,01021,Lawley,AL,Chilton County,H1
36915,01023,Needham,AL,Choctaw County,H1
36919,01023,Silas,AL,Choctaw County,H1
36910,01023,Jachin,AL,Choctaw County,H1
36916,01023,Pennington,AL,Choctaw County,H1
36908,01023,Gilbertown,AL,Choctaw County,H1
36913,01023,Melvin,AL,Choctaw County,H1
36912,01023,Lisman,AL,Choctaw County,H1
36921,01023,Toxey,AL,Choctaw County,H1
36558,01023,Millry,AL,Choctaw County,H1
36904,01023,Butler,AL,Choctaw County,H1
36922,01023,Ward,AL,Choctaw County,H1
36540,01025,Gainestown,AL,Clarke County,H1
36524,01025,Coffeeville,AL,Clarke County,H1
36751,01025,Lower peach tree,AL,Clarke County,H1
36727,01025,Campbell,AL,Clarke County,H1
36545,01025,Jackson,AL,Clarke County,H1
36446,01025,Fulton,AL,Clarke County,H1
36451,01025,Grove hill,AL,Clarke County,H1
36436,01025,Dickinson,AL,Clarke County,H1
36784,01025,Thomasville,AL,Clarke County,H1
36482,01025,Whatley,AL,Clarke County,H1
36251,01027,Ashland,AL,Clay County,H1
35089,01027,Kellyton,AL,Clay County,H1
36266,01027,Lineville,AL,Clay County,H1
36267,01027,Millerville,AL,Clay County,H1
36256,01027,Daviston,AL,Clay County,H1
36258,01027,Delta,AL,Clay County,H1
36255,01027,Cragford,AL,Clay County,H1
35072,01027,Goodwater,AL,Clay County,H1
35160,01027,Talladega,AL,Clay County,H1
36276,01027,Wadley,AL,Clay County,H1
36268,01027,Munford,AL,Clay County,H1
35082,01027,Hollins,AL,Clay County,H1
36264,01029,Heflin,AL,Cleburne County,H1
36269,01029,Muscadine,AL,Cleburne County,H1
36258,01029,Delta,AL,Cleburne County,H1
36207,01029,Anniston,AL,Cleburne County,H1
36272,01029,Piedmont,AL,Cleburne County,H1
36262,01029,Fruithurst,AL,Cleburne County,H1
36273,01029,Ranburne,AL,Cleburne County,H1
36261,01029,Edwardsville,AL,Cleburne County,H1
36268,01029,Munford,AL,Cleburne County,H1
36323,01031,Elba,AL,Coffee County,H1
36360,01031,Ozark,AL,Coffee County,H1
36079,01031,Troy,AL,Coffee County,H1
36322,01031,Daleville,AL,Coffee County,H1
36311,01031,Ariton,AL,Coffee County,H1
36453,01031,Kinston,AL,Coffee County,H1
36009,01031,Brantley,AL,Coffee County,H1
36351,01031,New brockton,AL,Coffee County,H1
36010,01031,Brundidge,AL,Coffee County,H1
36330,01031,Enterprise,AL,Coffee County,H1
36316,01031,Chancellor,AL,Coffee County,H1
36034,01031,Glenwood,AL,Coffee County,H1
36467,01031,Opp,AL,Coffee County,H1
36346,01031,Jack,AL,Coffee County,H1
36477,01031,Samson,AL,Coffee County,H1
36318,01031,Coffee springs,AL,Coffee County,H1
35672,01033,Town creek,AL,Colbert County,H1
35646,01033,Leighton,AL,Colbert County,H1
35616,01033,Cherokee,AL,Colbert County,H1
35661,01033,Muscle shoals,AL,Colbert County,H1
35674,01033,Tuscumbia,AL,Colbert County,H1
35654,01033,Russellville,AL,Colbert County,H1
35660,01033,Sheffield,AL,Colbert County,H1
35653,01033,Russellville,AL,Colbert County,H1
35582,01033,Red bay,AL,Colbert County,H1
36502,01035,Atmore,AL,Conecuh County,H1
36474,01035,Red level,AL,Conecuh County,H1
36033,01035,Georgiana,AL,Conecuh County,H1
36456,01035,Mc kenzie,AL,Conecuh County,H1
36473,01035,Range,AL,Conecuh County,H1
36330,01035,Enterprise,AL,Conecuh County,H1
36471,01035,Peterman,AL,Conecuh County,H1
36454,01035,Lenox,AL,Conecuh County,H1
36460,01035,Monroeville,AL,Conecuh County,H1
36401,01035,Evergreen,AL,Conecuh County,H1
36421,01035,Andalusia,AL,Conecuh County,H1
36426,01035,Brewton,AL,Conecuh County,H1
36432,01035,Castleberry,AL,Conecuh County,H1
36475,01035,Repton,AL,Conecuh County,H1
36768,01035,Pine apple,AL,Conecuh County,H1
35151,01037,Sylacauga,AL,Coosa County,H1
35010,01037,Alexander city,AL,Coosa County,H1
35183,01037,Weogufka,AL,Coosa County,H1
35089,01037,Kellyton,AL,Coosa County,H1
36026,01037,Equality,AL,Coosa County,H1
35150,01037,Sylacauga,AL,Coosa County,H1
35072,01037,Goodwater,AL,Coosa County,H1
35136,01037,Rockford,AL,Coosa County,H1
35046,01037,Clanton,AL,Coosa County,H1
36080,01037,Titus,AL,Coosa County,H1
36476,01039,River falls,AL,Covington County,H1
36028,01039,Dozier,AL,Covington County,H1
36474,01039,Red level,AL,Covington County,H1
36453,01039,Kinston,AL,Covington County,H1
36456,01039,Mc kenzie,AL,Covington County,H1
36038,01039,Gantt,AL,Covington County,H1
36442,01039,Florala,AL,Covington County,H1
36455,01039,Lockhart,AL,Covington County,H1
36420,01039,Andalusia,AL,Covington County,H1
36401,01039,Evergreen,AL,Covington County,H1
36421,01039,Andalusia,AL,Covington County,H1
36467,01039,Opp,AL,Covington County,H1
36483,01039,Wing,AL,Covington County,H1
36477,01039,Samson,AL,Covington County,H1
36323,01041,Elba,AL,Crenshaw County,H1
36028,01041,Dozier,AL,Crenshaw County,H1
36071,01041,Rutledge,AL,Crenshaw County,H1
36042,01041,Honoraville,AL,Crenshaw County,H1
36009,01041,Brantley,AL,Crenshaw County,H1
36049,01041,Luverne,AL,Crenshaw County,H1
36041,01041,Highland home,AL,Crenshaw County,H1
36032,01041,Fort deposit,AL,Crenshaw County,H1
36034,01041,Glenwood,AL,Crenshaw County,H1
36035,01041,Goshen,AL,Crenshaw County,H1
36467,01041,Opp,AL,Crenshaw County,H1
36037,01041,Greenville,AL,Crenshaw County,H1
36036,01041,Grady,AL,Crenshaw County,H1
36046,01041,Lapine,AL,Crenshaw County,H1
35619,01043,Danville,AL,Cullman County,H1
35541,01043,Arley,AL,Cullman County,H1
35057,01043,Cullman,AL,Cullman County,H1
35033,01043,Bremen,AL,Cullman County,H1
35055,01043,Cullman,AL,Cullman County,H1
35058,01043,Cullman,AL,Cullman County,H1
35077,01043,Hanceville,AL,Cullman County,H1
35070,01043,Garden city,AL,Cullman County,H1
35087,01043,Joppa,AL,Cullman County,H1
35083,01043,Holly pond,AL,Cullman County,H1
35098,01043,Logan,AL,Cullman County,H1
35976,01043,Guntersville,AL,Cullman County,H1
35056,01043,Cullman,AL,Cullman County,H1
35053,01043,Crane hill,AL,Cullman County,H1
35019,01043,Baileyton,AL,Cullman County,H1
35016,01043,Arab,AL,Cullman County,H1
35179,01043,Vinemont,AL,Cullman County,H1
35540,01043,Addison,AL,Cullman County,H1
35621,01043,Eva,AL,Cullman County,H1
35622,01043,Falkville,AL,Cullman County,H1
35670,01043,Somerville,AL,Cullman County,H1
36360,01045,Ozark,AL,Dale County,H1
36317,01045,Clopton,AL,Dale County,H1
36322,01045,Daleville,AL,Dale County,H1
36361,01045,Ozark,AL,Dale County,H1
36371,01045,Pinckard,AL,Dale County,H1
36311,01045,Ariton,AL,Dale County,H1
36362,01045,Fort rucker,AL,Dale County,H1
36345,01045,Headland,AL,Dale County,H1
36010,01045,Brundidge,AL,Dale County,H1
36330,01045,Enterprise,AL,Dale County,H1
36352,01045,Newton,AL,Dale County,H1
36374,01045,Skipperville,AL,Dale County,H1
36303,01045,Dothan,AL,Dale County,H1
36353,01045,Newville,AL,Dale County,H1
36350,01045,Midland city,AL,Dale County,H1
36758,01047,Plantersville,AL,Dallas County,H1
36773,01047,Safford,AL,Dallas County,H1
36701,01047,Selma,AL,Dallas County,H1
36785,01047,Tyler,AL,Dallas County,H1
36703,01047,Selma,AL,Dallas County,H1
36775,01047,Sardis,AL,Dallas County,H1
36761,01047,Minter,AL,Dallas County,H1
36749,01047,Jones,AL,Dallas County,H1
36767,01047,Orrville,AL,Dallas County,H1
36759,01047,Marion junction,AL,Dallas County,H1
35968,01049,Fort payne,AL,DeKalb County,H1
35984,01049,Mentone,AL,DeKalb County,H1
35765,01049,Pisgah,AL,DeKalb County,H1
35954,01049,Attalla,AL,DeKalb County,H1
35983,01049,Leesburg,AL,DeKalb County,H1
35966,01049,Flat rock,AL,DeKalb County,H1
35975,01049,Groveoak,AL,DeKalb County,H1
35957,01049,Boaz,AL,DeKalb County,H1
35959,01049,Cedar bluff,AL,DeKalb County,H1
35978,01049,Henagar,AL,DeKalb County,H1
35988,01049,Sylvania,AL,DeKalb County,H1
35951,01049,Albertville,AL,DeKalb County,H1
35961,01049,Collinsville,AL,DeKalb County,H1
35967,01049,Fort payne,AL,DeKalb County,H1
35956,01049,Boaz,AL,DeKalb County,H1
35981,01049,Ider,AL,DeKalb County,H1
35974,01049,Geraldine,AL,DeKalb County,H1
35979,01049,Higdon,AL,DeKalb County,H1
35989,01049,Valley head,AL,DeKalb County,H1
35963,01049,Dawson,AL,DeKalb County,H1
35962,01049,Crossville,AL,DeKalb County,H1
35971,01049,Fyffe,AL,DeKalb County,H1
35986,01049,Rainsville,AL,DeKalb County,H1
35771,01049,Section,AL,DeKalb County,H1
36024,01051,Eclectic,AL,Elmore County,H1
35010,01051,Alexander city,AL,Elmore County,H1
36078,01051,Tallassee,AL,Elmore County,H1
36067,01051,Prattville,AL,Elmore County,H1
36092,01051,Wetumpka,AL,Elmore County,H1
36093,01051,Wetumpka,AL,Elmore County,H1
36026,01051,Equality,AL,Elmore County,H1
36054,01051,Millbrook,AL,Elmore County,H1
35136,01051,Rockford,AL,Elmore County,H1
36025,01051,Elmore,AL,Elmore County,H1
36022,01051,Deatsville,AL,Elmore County,H1
36066,01051,Prattville,AL,Elmore County,H1
36051,01051,Marbury,AL,Elmore County,H1
36020,01051,Coosada,AL,Elmore County,H1
36080,01051,Titus,AL,Elmore County,H1
36502,01053,Atmore,AL,Escambia County,H1
36441,01053,Flomaton,AL,Escambia County,H1
36420,01053,Andalusia,AL,Escambia County,H1
36426,01053,Brewton,AL,Escambia County,H1
36432,01053,Castleberry,AL,Escambia County,H1
36475,01053,Repton,AL,Escambia County,H1
36483,01053,Wing,AL,Escambia County,H1
36562,01053,Perdido,AL,Escambia County,H1
36543,01053,Huxford,AL,Escambia County,H1
36503,01053,Atmore,AL,Escambia County,H1
35901,01055,Gadsden,AL,Etowah County,H1
35954,01055,Attalla,AL,Etowah County,H1
35903,01055,Gadsden,AL,Etowah County,H1
35907,01055,Gadsden,AL,Etowah County,H1
35905,01055,Gadsden,AL,Etowah County,H1
35904,01055,Gadsden,AL,Etowah County,H1
35957,01055,Boaz,AL,Etowah County,H1
35961,01055,Collinsville,AL,Etowah County,H1
35972,01055,Gallant,AL,Etowah County,H1
35956,01055,Boaz,AL,Etowah County,H1
36272,01055,Piedmont,AL,Etowah County,H1
35902,01055,Gadsden,AL,Etowah County,H1
35990,01055,Walnut grove,AL,Etowah County,H1
35121,01055,Oneonta,AL,Etowah County,H1
35952,01055,Altoona,AL,Etowah County,H1
35906,01055,Rainbow city,AL,Etowah County,H1
36271,01055,Ohatchee,AL,Etowah County,H1
35554,01057,Eldridge,AL,Fayette County,H1
35594,01057,Winfield,AL,Fayette County,H1
35546,01057,Berry,AL,Fayette County,H1
35549,01057,Carbon hill,AL,Fayette County,H1
35579,01057,Oakman,AL,Fayette County,H1
35563,01057,Guin,AL,Fayette County,H1
35542,01057,Bankston,AL,Fayette County,H1
35545,01057,Belk,AL,Fayette County,H1
35574,01057,Kennedy,AL,Fayette County,H1
35555,01057,Fayette,AL,Fayette County,H1
35559,01057,Glen allen,AL,Fayette County,H1
35585,01059,Spruce pine,AL,Franklin County,H1
35593,01059,Vina,AL,Franklin County,H1
35581,01059,Phil campbell,AL,Franklin County,H1
35616,01059,Cherokee,AL,Franklin County,H1
35674,01059,Tuscumbia,AL,Franklin County,H1
35565,01059,Haleyville,AL,Franklin County,H1
35564,01059,Hackleburg,AL,Franklin County,H1
35651,01059,Mount hope,AL,Franklin County,H1
35654,01059,Russellville,AL,Franklin County,H1
35571,01059,Hodges,AL,Franklin County,H1
35653,01059,Russellville,AL,Franklin County,H1
35582,01059,Red bay,AL,Franklin County,H1
36305,01061,Dothan,AL,Geneva County,H1
36314,01061,Black,AL,Geneva County,H1
36322,01061,Daleville,AL,Geneva County,H1
36375,01061,Slocomb,AL,Geneva County,H1
36453,01061,Kinston,AL,Geneva County,H1
36340,01061,Geneva,AL,Geneva County,H1
36344,01061,Hartford,AL,Geneva County,H1
36316,01061,Chancellor,AL,Geneva County,H1
36442,01061,Florala,AL,Geneva County,H1
36352,01061,Newton,AL,Geneva County,H1
36301,01061,Dothan,AL,Geneva County,H1
36467,01061,Opp,AL,Geneva County,H1
36349,01061,Malvern,AL,Geneva County,H1
36477,01061,Samson,AL,Geneva County,H1
36318,01061,Coffee springs,AL,Geneva County,H1
36313,01061,Bellwood,AL,Geneva County,H1
35480,01063,Ralph,AL,Greene County,H1
35448,01063,Clinton,AL,Greene County,H1
35464,01063,Gainesville,AL,Greene County,H1
35443,01063,Boligee,AL,Greene County,H1
35463,01063,Fosters,AL,Greene County,H1
35469,01063,Knoxville,AL,Greene County,H1
35491,01063,West greene,AL,Greene County,H1
35462,01063,Eutaw,AL,Greene County,H1
36740,01063,Forkland,AL,Greene County,H1
36744,01065,Greensboro,AL,Hale County,H1
36786,01065,Uniontown,AL,Hale County,H1
36756,01065,Marion,AL,Hale County,H1
36765,01065,Newbern,AL,Hale County,H1
35441,01065,Akron,AL,Hale County,H1
35474,01065,Moundville,AL,Hale County,H1
36742,01065,Gallion,AL,Hale County,H1
36776,01065,Sawyerville,AL,Hale County,H1
36738,01065,Faunsdale,AL,Hale County,H1
36317,01067,Clopton,AL,Henry County,H1
36373,01067,Shorterville,AL,Henry County,H1
36319,01067,Columbia,AL,Henry County,H1
36345,01067,Headland,AL,Henry County,H1
36303,01067,Dothan,AL,Henry County,H1
36310,01067,Abbeville,AL,Henry County,H1
36353,01067,Newville,AL,Henry County,H1
36350,01067,Midland city,AL,Henry County,H1
36320,01069,Cottonwood,AL,Houston County,H1
36305,01069,Dothan,AL,Houston County,H1
36312,01069,Ashford,AL,Houston County,H1
36375,01069,Slocomb,AL,Houston County,H1
36319,01069,Columbia,AL,Houston County,H1
36345,01069,Headland,AL,Houston County,H1
36376,01069,Webb,AL,Houston County,H1
36352,01069,Newton,AL,Houston County,H1
36302,01069,Dothan,AL,Houston County,H1
36301,01069,Dothan,AL,Houston County,H1
36303,01069,Dothan,AL,Houston County,H1
36321,01069,Cowarts,AL,Houston County,H1
36343,01069,Gordon,AL,Houston County,H1
36370,01069,Pansey,AL,Houston County,H1
36350,01069,Midland city,AL,Houston County,H1
35751,01071,Hollytree,AL,Jackson County,H1
35752,01071,Hollywood,AL,Jackson County,H1
35765,01071,Pisgah,AL,Jackson County,H1
35745,01071,Estillfork,AL,Jackson County,H1
35776,01071,Woodville,AL,Jackson County,H1
35966,01071,Flat rock,AL,Jackson County,H1
35769,01071,Scottsboro,AL,Jackson County,H1
35978,01071,Henagar,AL,Jackson County,H1
35772,01071,Stevenson,AL,Jackson County,H1
35768,01071,Scottsboro,AL,Jackson County,H1
35748,01071,Gurley,AL,Jackson County,H1
35774,01071,Trenton,AL,Jackson County,H1
35958,01071,Bryant,AL,Jackson County,H1
35740,01071,Bridgeport,AL,Jackson County,H1
35766,01071,Princeton,AL,Jackson County,H1
35979,01071,Higdon,AL,Jackson County,H1
35744,01071,Dutton,AL,Jackson County,H1
35764,01071,Paint rock,AL,Jackson County,H1
35971,01071,Fyffe,AL,Jackson County,H1
35746,01071,Fackler,AL,Jackson County,H1
35755,01071,Langston,AL,Jackson County,H1
35771,01071,Section,AL,Jackson County,H1
35022,01073,Bessemer,AL,Jefferson County,H1
35130,01073,Quinton,AL,Jefferson County,H1
35208,01073,Birmingham,AL,Jefferson County,H1
35242,01073,Birmingham,AL,Jefferson County,H1
35244,01073,Birmingham,AL,Jefferson County,H1
35221,01073,Birmingham,AL,Jefferson County,H1
35224,01073,Birmingham,AL,Jefferson County,H1
35253,01073,Birmingham,AL,Jefferson County,H1
35218,01073,Birmingham,AL,Jefferson County,H1
35243,01073,Birmingham,AL,Jefferson County,H1
35060,01073,Docena,AL,Jefferson County,H1
35123,01073,Palmerdale,AL,Jefferson County,H1
35181,01073,Watson,AL,Jefferson County,H1
35063,01073,Empire,AL,Jefferson County,H1
35094,01073,Leeds,AL,Jefferson County,H1
35005,01073,Adamsville,AL,Jefferson County,H1
35146,01073,Springville,AL,Jefferson County,H1
35203,01073,Birmingham,AL,Jefferson County,H1
35117,01073,Mount olive,AL,Jefferson County,H1
35211,01073,Birmingham,AL,Jefferson County,H1
35222,01073,Birmingham,AL,Jefferson County,H1
35216,01073,Birmingham,AL,Jefferson County,H1
35091,01073,Kimberly,AL,Jefferson County,H1
35231,01073,Birmingham,AL,Jefferson County,H1
35021,01073,Bessemer,AL,Jefferson County,H1
35036,01073,Brookside,AL,Jefferson County,H1
35294,01073,Birmingham,AL,Jefferson County,H1
35254,01073,Birmingham,AL,Jefferson County,H1
35293,01073,Birmingham,AL,Jefferson County,H1
35061,01073,Dolomite,AL,Jefferson County,H1
35064,01073,Fairfield,AL,Jefferson County,H1
35126,01073,Pinson,AL,Jefferson County,H1
35127,01073,Pleasant grove,AL,Jefferson County,H1
35206,01073,Birmingham,AL,Jefferson County,H1
35210,01073,Birmingham,AL,Jefferson County,H1
35202,01073,Birmingham,AL,Jefferson County,H1
35214,01073,Birmingham,AL,Jefferson County,H1
35215,01073,Birmingham,AL,Jefferson County,H1
35233,01073,Birmingham,AL,Jefferson County,H1
35444,01073,Brookwood,AL,Jefferson County,H1
35236,01073,Birmingham,AL,Jefferson County,H1
35023,01073,Bessemer,AL,Jefferson County,H1
35073,01073,Graysville,AL,Jefferson County,H1
35004,01073,Moody,AL,Jefferson County,H1
35172,01073,Trafford,AL,Jefferson County,H1
35111,01073,Mc calla,AL,Jefferson County,H1
35118,01073,Mulga,AL,Jefferson County,H1
35048,01073,Clay,AL,Jefferson County,H1
35220,01073,Birmingham,AL,Jefferson County,H1
35219,01073,Birmingham,AL,Jefferson County,H1
35139,01073,Sayre,AL,Jefferson County,H1
35068,01073,Fultondale,AL,Jefferson County,H1
35006,01073,Adger,AL,Jefferson County,H1
35173,01073,Trussville,AL,Jefferson County,H1
35205,01073,Birmingham,AL,Jefferson County,H1
35209,01073,Birmingham,AL,Jefferson County,H1
35235,01073,Birmingham,AL,Jefferson County,H1
35234,01073,Birmingham,AL,Jefferson County,H1
35260,01073,Birmingham,AL,Jefferson County,H1
35261,01073,Birmingham,AL,Jefferson County,H1
35295,01073,Birmingham,AL,Jefferson County,H1
35020,01073,Bessemer,AL,Jefferson County,H1
35133,01073,Remlap,AL,Jefferson County,H1
35116,01073,Morris,AL,Jefferson County,H1
35255,01073,Birmingham,AL,Jefferson County,H1
35223,01073,Birmingham,AL,Jefferson County,H1
35217,01073,Birmingham,AL,Jefferson County,H1
35285,01073,Birmingham,AL,Jefferson County,H1
35270,01073,Birmingham,AL,Jefferson County,H1
35142,01073,Shannon,AL,Jefferson County,H1
35249,01073,Birmingham,AL,Jefferson County,H1
35080,01073,Helena,AL,Jefferson County,H1
35071,01073,Gardendale,AL,Jefferson County,H1
35148,01073,Sumiton,AL,Jefferson County,H1
35213,01073,Birmingham,AL,Jefferson County,H1
35212,01073,Birmingham,AL,Jefferson County,H1
35228,01073,Birmingham,AL,Jefferson County,H1
35259,01073,Birmingham,AL,Jefferson County,H1
35119,01073,New castle,AL,Jefferson County,H1
35062,01073,Dora,AL,Jefferson County,H1
35079,01073,Hayden,AL,Jefferson County,H1
35204,01073,Birmingham,AL,Jefferson County,H1
35207,01073,Birmingham,AL,Jefferson County,H1
35201,01073,Birmingham,AL,Jefferson County,H1
35180,01073,Warrior,AL,Jefferson County,H1
35226,01073,Birmingham,AL,Jefferson County,H1
35266,01073,Birmingham,AL,Jefferson County,H1
35015,01073,Alton,AL,Jefferson County,H1
35232,01073,Birmingham,AL,Jefferson County,H1
35229,01073,Birmingham,AL,Jefferson County,H1
35576,01075,Millport,AL,Lamar County,H1
35586,01075,Sulligent,AL,Lamar County,H1
35592,01075,Vernon,AL,Lamar County,H1
35563,01075,Guin,AL,Lamar County,H1
35570,01075,Hamilton,AL,Lamar County,H1
35544,01075,Beaverton,AL,Lamar County,H1
35574,01075,Kennedy,AL,Lamar County,H1
35555,01075,Fayette,AL,Lamar County,H1
35552,01075,Detroit,AL,Lamar County,H1
35614,01077,Athens,AL,Lauderdale County,H1
35677,01077,Waterloo,AL,Lauderdale County,H1
35630,01077,Florence,AL,Lauderdale County,H1
